,,Male,Female,18-24,25-34,35-44,45-54,55+,ABC1,C2DE
,,Male,Female,18-24,25-34,35-44,45-54,55+,ABC1,C2DE
"Have you ever watched the American TV sitcom 'Friends'?
(Please select the option that best applies)",,,,,,,,,,
,2080,962,1118,173,322,343,363,879,1231,849
,2080,1010,1070,234,335,348,342,821,1186,894
,17%,14%,20%,25%,35%,26%,14%,4%,17%,16%
,20%,19%,20%,20%,28%,26%,24%,11%,21%,18%
,31%,34%,29%,27%,25%,33%,37%,32%,34%,28%
,31%,33%,30%,27%,11%,13%,25%,52%,28%,36%
